Company Name,Products,Category,Notes,Contact Status
VentorTech,"Odoo Direct Print PRO, ZPL Label Designer PRO",Direct Printing & Label Design,Direct printing and ZPL label design solutions for Odoo,Not Contacted
Brilliant Software Pvt. Ltd.,Print Direct: Direct Printing,Direct Printing,Direct printing solutions for seamless Odoo integration,Not Contacted
Geraad Creation,"Product Label Builder, Label Builder Start Edition, Stock Product Labels",Label Building & Stock Management,Professional label building and stock labeling solutions,Not Contacted
Softtheater Technologies,"Stock Barcode Pro, Product Price Checker, Point of Sale Retail Shop, Product Multiple Barcode, Website Fast Order",Inventory & POS & Barcode,Comprehensive inventory POS and barcode management solutions,Not Contacted
Beta Consulting Services,Multi User Inventory Count,Inventory Management,Advanced multi-user inventory counting and management,Not Contacted
Finued Hassan,FlexiUnit POS: Dynamic PH,POS Solutions,Dynamic POS solutions with flexible unit management,Not Contacted
QMAX Informatics,"Barcode User with Multi-enterprise, Inventory Count Management",Barcode & Inventory,Multi-enterprise barcode and inventory solutions,Not Contacted
BROW5EINFO,POS Auto Lot Selection with Warehouse,POS & Warehouse,Automated lot selection for POS and warehouse operations,Not Contacted
Matsuac7,Odoo Direct Print,Direct Printing,Direct printing integration for Odoo applications,Not Contacted
Rakut Technologies,Scan Barcode and QR Code using Mobile Camera,Barcode Scanning,Mobile barcode and QR code scanning solutions,Not Contacted
Win Dg JFC,Document Management System,Document Management,Comprehensive document management for Odoo,Not Contacted
Weblud Software Pvt. Ltd.,Product Advance Labels Builder,Label Building,Advanced label building with enhanced features,Not Contacted
SkyPDF,Odoo Direct Print,Direct Printing,Direct printing and PDF solutions for Odoo,Not Contacted
oMx Technologies,Barcode Scanner App,Barcode Scanning,Mobile and desktop barcode scanning applications,Not Contacted
Khaled Hassan,POS User Access Rights,POS Security & Access Control,User access management and rights control for POS systems,Not Contacted
Almighty Consulting Solutions,Patient Barcode in Hospital Management,Healthcare Barcode Solutions,Specialized barcode solutions for healthcare and hospital management,Not Contacted
SAKLADAT,Product Price Checker & Price Management,Pricing & Product Management,Product price checking and comprehensive price management tools,Not Contacted
Kanak Infosystems LLP,Label Printing From Zebra,Zebra Label Printing,Professional Zebra printer integration and label printing solutions,Not Contacted
TinyWay,Print Dynamic Barcode Labels,Dynamic Label Printing,Dynamic barcode label generation and printing solutions,Not Contacted
INKERP,Product Multi Barcode For Enterprise,Enterprise Barcode Solutions,Multi-barcode solutions for large-scale enterprise operations,Not Contacted
Raxaum D,Mobile Barcode and QR Code Scanner Widget,Barcode Scanning Widget,Mobile barcode and QR code scanner widget for Odoo,Not Contacted
Product IT Solutions Pvt. Ltd.,Generate EAN13 Product Barcode,Barcode Generation,EAN13 barcode generation and product labeling solutions,Not Contacted
echoMei IT Solutions Pvt. Ltd.,Product Barcode Generator,Barcode Generation,Automated product barcode generation and management,Not Contacted
Keypress IT Services,Odoo Barcode Scanner | Odoo Barcode Reader,Barcode Scanning Hardware,Professional barcode scanner and reader integration for Odoo,Not Contacted
Mileo Technology,POS Product Multi Barcode,POS & Multi-Barcode,Multi-barcode support for POS systems and product management,Not Contacted
TechPill Business Solutions,Auto Product Barcode Generator,Automated Barcode Generation,Automatic barcode generation for product management,Not Contacted
Dustin Mimrista,Printer Direct,Direct Printing,Direct printer integration for seamless document printing,Not Contacted
Dotaprime System,"Dynamic Product Label | Odoo Product Label Builder, POS Customer Validation, POS Receipt A3",Label Building & POS Solutions,Comprehensive label building and POS management solutions,Not Contacted
